,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,Channel,Status,Time (GMT),Direction,Pillar,Angle - Tone - Mood,Title,Pic,Copy (link),Visual Type,Visual (Drive Link),Link to Published Post,,,,,,,,,,,,,,,,
Week 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,https://www.facebook.com/groups/soholaxaykenh.group/posts/1979528559068478/,,,,,,,,,,,,,,,,
,,,,,,,,,,,,https://www.facebook.com/groups/soholaxaykenh.group/posts/1979583695729631,,,,,,,,,,,,,,,,
,,,,,,,,,,,,https://www.facebook.com/groups/soholaxaykenh.group/posts/1979758955712105/,,,,,,,,,,,,,,,,
,,,,,,,,,,,,https://www.facebook.com/groups/soholaxaykenh.group/posts/1980166619004672/,,,,,,,,,,,,,,,,
,,,,,,,,,,,,https://www.facebook.com/groups/soholaxaykenh.group/posts/1980210669000267,,,,,,,,,,,,,,,,
,,,,,,,,,,,,https://www.facebook.com/photo/?fbid=1981133582228889&set=g.1964270510594283,,,,,,,,,,,,,,,,
,,,,,,,,,,,,https://www.facebook.com/groups/soholaxaykenh.group/posts/1980901898931144,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Image/Video,Link to Published Post,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,,Status,Time (GMT),Post Topic/Type,,,Title,Pic,Copy (link),Visual Type,Image/Video,Link to Published Post,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,,Status,Time (GMT),Post Topic/Type,,,Title,Pic,Copy (link),Visual Type,Image/Video,Link to Published Post,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
